,state,population,population_density,murders,gun_murders,gun_ownership,murder_rate,gun_murder_rate,income,high_school,bachelors,advanced,no_high_school,suicide_rate,incarceration_rate,violent_crime_rate,poverty_rate
0,Alabama,4779736,94.65,199,135,51.7,4.2,2.8,40489,82.1,22.0,7.7,17.900000000000006,11.8,647,425,16.7
1,Alaska,710231,1.264,31,19,57.8,4.4,2.7,68342,91.4,26.6,9.0,8.599999999999994,23.1,364,688,10.0
2,Arizona,6392017,57.05,352,232,31.1,5.5,3.6,47357,84.2,25.6,9.3,15.799999999999997,15.6,586,501,15.2
3,Arkansas,2915918,56.43,130,93,55.3,4.5,3.2,37823,82.4,18.9,6.1,17.599999999999994,13.0,578,552,15.9
4,California,37253956,244.2,1811,1257,21.3,4.9,3.4,69860,80.6,29.9,10.7,19.400000000000006,9.6,353,533,13.2
5,Colorado,5029196,49.33,117,65,34.7,2.3,1.3,54659,89.3,35.9,12.7,10.700000000000003,17.1,384,392,11.4
6,Connecticut,3574097,741.4,131,97,16.7,3.7,2.7,66953,88.6,35.6,15.5,11.400000000000006,8.2,338,281,9.7
7,Delaware,897934,470.7,48,38,25.5,5.3,4.2,58548,87.4,28.7,11.4,12.599999999999994,11.0,442,682,9.2
8,Florida,19687653,360.2,987,669,24.5,5.0,3.9,44926,85.3,25.3,9.0,14.700000000000003,13.0,524,712,11.1
9,Georgia,9920000,172.5,527,376,40.3,5.3,3.8,45395,83.9,27.5,9.9,16.099999999999994,11.1,533,471,14.4
10,Hawaii,1360301,216.8,24,7,6.7,1.8,0.5,59290,90.4,29.6,9.9,9.599999999999994,8.9,257,281,8.6
11,Idaho,1567582,19.5,21,12,55.3,1.3,0.8,43028,88.4,23.9,7.5,11.599999999999994,17.5,466,247,9.9
12,Illinois,12830632,231.9,453,364,20.2,3.5,2.8,53341,86.4,30.6,11.7,13.599999999999994,8.0,377,542,11.5
13,Indiana,6483802,182.5,198,142,39.1,3.1,2.2,45734,86.6,22.5,8.1,13.400000000000006,11.3,454,315,12.6
14,Iowa,3046355,54.81,38,21,42.9,1.2,0.7,48457,90.5,25.1,7.4,9.5,11.5,279,284,11.3
15,Kansas,2853118,35.09,100,63,42.1,3.5,2.2,48044,89.7,29.5,10.2,10.299999999999997,13.5,328,425,12.5
16,Kentucky,4339367,110.0,180,116,47.7,4.5,2.7,40072,81.7,21.0,8.5,18.299999999999997,13.2,462,263,14.8
17,Louisiana,4533372,105.0,437,351,44.1,9.6,7.7,41725,82.2,21.4,6.9,17.799999999999997,12.1,847,698,18.3
18,Maine,1328361,43.04,24,11,40.5,1.8,0.8,45424,90.2,26.9,9.6,9.799999999999997,12.4,148,116,12.6
19,Maryland,5773552,606.2,424,293,21.3,7.3,5.1,69272,88.2,35.7,16.0,11.799999999999997,8.9,353,679,9.7
20,Massachusetts,6547629,852.1,209,118,12.6,3.2,1.8,62081,89.0,38.2,16.4,11.0,6.4,192,447,10.1
21,Michigan,9883640,174.8,558,413,38.4,5.6,4.2,45255,87.9,24.6,9.4,12.099999999999994,10.8,441,562,12.0
22,Minnesota,5303925,67.14,91,53,41.7,1.7,1.0,58931,91.5,31.5,10.3,8.5,10.1,189,312,8.1
23,Mississippi,2967297,63.5,165,120,55.3,5.6,4.0,36646,80.4,19.6,7.1,19.599999999999994,12.2,692,299,20.1
24,Missouri,5988927,87.26,419,321,41.7,7.0,5.4,45043,86.8,25.2,9.5,13.200000000000003,12.4,521,546,11.6
25,Montana,989415,6.858,21,12,57.7,2.1,1.2,44736,90.8,27.4,8.3,9.200000000000003,18.7,357,254,13.8
26,Nebraska,1826341,23.97,51,32,38.6,2.8,1.8,49520,89.8,27.4,8.8,10.200000000000003,9.5,263,282,9.5
27,Nevada,2700551,24.8,158,84,33.8,5.9,3.1,47827,83.9,21.8,7.6,16.099999999999994,19.0,460,742,10.6
28,New Hampshire,1316470,147.0,13,5,30.0,1.0,0.4,64712,91.3,32.0,11.2,8.700000000000003,9.8,215,139,5.6
29,New Jersey,8791894,1189.0,363,246,12.3,4.1,2.8,67458,87.4,34.5,12.9,12.599999999999994,6.8,252,352,6.8
30,New Mexico,2059179,17.16,118,67,34.8,5.7,3.3,41963,82.8,25.3,10.4,17.200000000000003,18.8,321,643,17.9
31,New York,19378102,415.3,860,517,18.0,4.4,2.7,55246,84.7,32.4,14.0,15.299999999999997,6.0,271,435,14.5
32,North Carolina,9535483,200.6,445,286,41.3,4.7,3.0,43916,84.3,26.5,8.8,15.700000000000003,11.9,356,476,13.1
33,North Dakota,672591,9.916,9,4,50.7,1.3,0.6,51704,90.1,25.8,6.7,9.900000000000006,11.2,211,128,11.2
34,Ohio,11536504,282.5,460,310,32.4,4.0,2.7,45229,87.6,24.1,8.8,12.400000000000006,11.3,446,350,12.3
35,Oklahoma,3751351,55.22,188,111,42.9,5.0,3.0,42492,85.6,22.7,7.4,14.400000000000006,14.4,659,497,15.6
36,Oregon,3831074,40.33,78,36,39.8,2.0,0.9,47590,89.1,29.2,10.4,10.900000000000006,14.9,385,280,12.0
37,Pennsylvania,12702379,285.3,646,457,34.7,5.1,3.6,48745,87.9,26.4,10.2,12.099999999999994,11.1,391,439,11.2
38,Rhode Island,1052567,1006.0,29,16,12.8,2.8,1.5,53636,84.7,30.5,11.7,15.299999999999997,7.5,194,228,12.1
39,South Carolina,4625364,157.1,280,207,42.3,6.1,4.5,42367,83.6,24.3,8.4,16.400000000000006,11.3,447,766,15.0
40,South Dakota,814180,10.86,14,8,56.6,1.7,1.0,48321,89.9,25.1,7.3,10.099999999999994,14.9,428,171,11.8
41,Tennessee,6346105,156.6,356,219,43.9,5.6,3.5,41664,83.1,23.0,7.9,16.900000000000006,13.2,438,760,15.0
42,Texas,25145561,98.07,1246,805,35.9,5.0,3.2,48259,79.9,25.5,8.5,20.099999999999994,10.6,602,516,16.2
43,Utah,2763885,34.3,52,22,43.9,1.9,0.8,55117,90.4,28.5,9.1,9.599999999999994,17.1,242,224,9.2
44,Vermont,625741,67.73,7,2,42.0,1.1,0.3,52664,91.0,33.1,13.3,9.0,14.2,251,137,7.6
45,Virginia,8001024,207.3,369,250,35.1,4.6,3.1,61330,86.6,34.0,14.1,13.400000000000006,10.9,446,282,9.2
46,Washington,6724540,102.6,151,93,33.1,2.2,1.4,54616,89.7,31.0,11.1,10.299999999999997,13.2,256,346,10.2
47,West Virginia,1852994,77.06,55,27,55.4,3.0,1.5,38482,82.8,17.3,6.7,17.200000000000003,15.4,367,280,15.4
48,Wisconsin,5686986,105.2,151,97,44.4,2.7,1.7,49993,89.8,25.7,8.4,10.200000000000003,11.9,370,284,10.2
49,Wyoming,563626,5.851,8,5,59.7,1.4,0.9,55430,91.8,23.8,7.9,8.200000000000003,17.6,395,240,10.6
