state,population,population_density,murders,gun_murders,gun_ownership,murder_rate,gun_murder_rate
Alabama,4779736,94.65,199,135,51.7,4.2,2.8
Alaska,710231,1.264,31,19,57.8,4.4,2.7
Arizona,6392017,57.05,352,232,31.1,5.5,3.6
Arkansas,2915918,56.43,130,93,55.3,4.5,3.2
California,37253956,244.2,1811,1257,21.3,4.9,3.4
Colorado,5029196,49.33,117,65,34.7,2.3,1.3
Connecticut,3574097,741.4,131,97,16.7,3.7,2.7
Delaware,897934,470.7,48,38,25.5,5.3,4.2
District of Columbia,601723,10298,131,99,3.6,21.8,16.5
Florida,19687653,360.2,987,669,24.5,5.0,3.9
Georgia,9920000,172.5,527,376,40.3,5.3,3.8
Hawaii,1360301,216.8,24,7,6.7,1.8,0.5
Idaho,1567582,19.5,21,12,55.3,1.3,0.8
Illinois,12830632,231.9,453,364,20.2,3.5,2.8
Indiana,6483802,182.5,198,142,39.1,3.1,2.2
Iowa,3046355,54.81,38,21,42.9,1.2,0.7
Kansas,2853118,35.09,100,63,42.1,3.5,2.2
Kentucky,4339367,110.0,180,116,47.7,4.5,2.7
Louisiana,4533372,105.0,437,351,44.1,9.6,7.7
Maine,1328361,43.04,24,11,40.5,1.8,0.8
Maryland,5773552,606.2,424,293,21.3,7.3,5.1
Massachusetts,6547629,852.1,209,118,12.6,3.2,1.8
Michigan,9883640,174.8,558,413,38.4,5.6,4.2
Minnesota,5303925,67.14,91,53,41.7,1.7,1.0
Mississippi,2967297,63.50,165,120,55.3,5.6,4.0
Missouri,5988927,87.26,419,321,41.7,7.0,5.4
Montana,989415,6.858,21,12,57.7,2.1,1.2
Nebraska,1826341,23.97,51,32,38.6,2.8,1.8
Nevada,2700551,24.80,158,84,33.8,5.9,3.1
New Hampshire,1316470,147.0,13,5,30.0,1.0,0.4
New Jersey,8791894,1189,363,246,12.3,4.1,2.8
New Mexico,2059179,17.16,118,67,34.8,5.7,3.3
New York,19378102,415.3,860,517,18,4.4,2.7
North Carolina,9535483,200.6,445,286,41.3,4.7,3.0
North Dakota,672591,9.916,9,4,50.7,1.3,0.6
Ohio,11536504,282.5,460,310,32.4,4.0,2.7
Oklahoma,3751351,55.22,188,111,42.9,5.0,3.0
Oregon,3831074,40.33,78,36,39.8,2.0,0.9
Pennsylvania,12702379,285.3,646,457,34.7,5.1,3.6
Rhode Island,1052567,1006,29,16,12.8,2.8,1.5
South Carolina,4625364,157.1,280,207,42.3,6.1,4.5
South Dakota,814180,10.86,14,8,56.6,1.7,1.0
Tennessee,6346105,156.6,356,219,43.9,5.6,3.5
Texas,25145561,98.07,1246,805,35.9,5.0,3.2
Utah,2763885,34.30,52,22,43.9,1.9,0.8
Vermont,625741,67.73,7,2,42.0,1.1,0.3
Virginia,8001024,207.3,369,250,35.1,4.6,3.1
Washington,6724540,102.6,151,93,33.1,2.2,1.4
West Virginia,1852994,77.06,55,27,55.4,3.0,1.5
Wisconsin,5686986,105.2,151,97,44.4,2.7,1.7
Wyoming,563626,5.851,8,5,59.7,1.4,0.9
