state,incarceration_rate
Alabama,647
Alaska,364
Arizona,586
Arkansas,578
California,353
Colorado,384
Connecticut,338
Delaware,442
Florida,524
Georgia,533
Hawaii,257
Idaho,466
Illinois,377
Indiana,454
Iowa,279
Kansas,328
Kentucky,462
Louisiana,847
Maine,148
Maryland,353
Massachusetts,192
Michigan,441
Minnesota,189
Mississippi,692
Missouri,521
Montana,357
Nebraska,263
Nevada,460
New Hampshire,215
New Jersey,252
New Mexico,321
New York,271
North Carolina,356
North Dakota,211
Ohio,446
Oklahoma,659
Oregon,385
Pennsylvania,391
Rhode Island,194
South Carolina,447
South Dakota,428
Tennessee,438
Texas,602
Utah,242
Vermont,251
Virginia,446
Washington,256
West Virginia,367
Wisconsin,370
Wyoming,395
