state,violent_crime_rate
Alabama,425
Alaska,688 	
Arizona,501
Arkansas,552
California,533
Colorado,392
Connecticut,281
Delaware,682
Florida,712
Georgia,471
Hawaii,281
Idaho,247
Illinois,542
Indiana,315
Iowa,284
Kansas,425
Kentucky,263
Louisiana,698
Maine,116
Maryland,679
Massachusetts,447
Michigan,562
Minnesota,312
Mississippi,299
Missouri,546
Montana,254
Nebraska,282
Nevada,742
New Hampshire,139
New Jersey,352
New Mexico,643
New York,435
North Carolina,476
North Dakota,128
Ohio,350
Oklahoma,497
Oregon,280
Pennsylvania,439
Rhode Island,228
South Carolina,766
South Dakota,171
Tennessee,760
Texas,516
Utah,224
Vermont,137
Virginia,282
Washington,346
West Virginia,280
Wisconsin,284
Wyoming,240
